"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","AT","Austria",70.288678570,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","BE","Belgium",-,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","BG","Bulgaria",0.501804310,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","CY","Cyprus",2.242992620,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","CZ","Czechia",235.385718260,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","DE","Germany",80.308662440,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","DK","Denmark",71.010470920,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","EE","Estonia",8.488964340,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","ES","Spain",-,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","EU27_21","EU (without UK)",53.024247000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",60.565175000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",53.118363000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",60.531976000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","FI","Finland",77.828975230,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","FR","France",24.023857930,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","HU","Hungary",57.708213990,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","IE","Ireland",43.431998850,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","IS","Iceland",30.226994980,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","IT","Italy",-,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","LI","Liechtenstein",0.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","LT","Lithuania",17.353936920,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","LU","Luxembourg",76.860561080,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","LV","Latvia",0.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","MT","Malta",22.435012420,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","NL","Netherlands",40.699936200,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","NO","Norway",60.583610720,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","PL","Poland",0.503600230,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","SE","Sweden",77.974318070,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","SI","Slovenia",56.059137160,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","SK","Slovakia",62.905020860,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","UK","United Kingdom",94.720638790,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","AT","Austria",51.516678700,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","BE","Belgium",-,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","BG","Bulgaria",0.252726720,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","CY","Cyprus",2.962646180,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","CZ","Czechia",194.007360420,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","DE","Germany",78.729874630,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","DK","Denmark",63.369840080,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","EE","Estonia",11.505932270,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","ES","Spain",-,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","EU27_21","EU (without UK)",50.956615000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",58.110685000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",51.092068000,""
