"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","DK","Denmark",1.141633460,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","EU27_21","EU (without UK)",0.336202000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","EU27_UK_21","EU (with UK until 2019)",0.266681000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","EUEEA30_21","EU/EEA (without UK)",0.814252000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","EUEEAUK_21","EU/EEA (with UK until 2019)",0.487086000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","HU","Hungary",0.194306390,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","IE","Ireland",0.269129290,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","LU","Luxembourg",0.166111570,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","LV","Latvia",0.206784700,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","NO","Norway",5.325156510,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","RO","Romania",0.025597070,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","SI","Slovenia",0.096764200,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","SK","Slovakia",1.065565330,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2018","UK","United Kingdom",0.214263370,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2019","CZ","Czechia",5.324043640,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2019","DK","Denmark",0.861166070,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2019","EE","Estonia",1.585120990,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2019","EU27_21","EU (without UK)",0.722368000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2019","EU27_UK_21","EU (with UK until 2019)",0.553741000,""
