"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","AT","Austria",0.989981380,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","BE","Belgium",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","BG","Bulgaria",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","CY","Cyprus",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","DE","Germany",1.056916710,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","DK","Denmark",2.863917640,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","EE","Estonia",0.223393790,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","EL","Greece",0.009061240,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","ES","Spain",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","EU27_21","EU (without UK)",0.684152000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",0.931199000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",0.686182000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",0.928721000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","FI","Finland",0.227403870,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","FR","France",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","HU","Hungary",0.009934270,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","IE","Ireland",2.649697540,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","IS","Iceland",4.225278860,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","IT","Italy",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","LT","Lithuania",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","LU","Luxembourg",0.210001530,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","LV","Latvia",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","MT","Malta",0.986154390,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","NL","Netherlands",0.537963330,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","NO","Norway",0.555420970,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","PL","Poland",0.005245830,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","RO","Romania",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","SE","Sweden",2.874932630,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","SI","Slovenia",0.198967650,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","SK","Slovakia",0.111665710,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2007","UK","United Kingdom",1.881346500,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","AT","Austria",0.830525890,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","BE","Belgium",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","BG","Bulgaria",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","CY","Cyprus",0.257621400,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","CZ","Czechia",0.077343840,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","DE","Germany",1.065462230,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","DK","Denmark",2.940214480,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","EE","Estonia",0.224141530,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","EL","Greece",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","ES","Spain",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","EU27_21","EU (without UK)",0.722441000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",0.957133000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",0.718137000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",0.949847000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","FI","Finland",0.150929610,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","FR","France",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","HU","Hungary",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","IE","Ireland",4.778179190,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","IS","Iceland",1.267993620,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","IT","Italy",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","LI","Liechtenstein",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","LT","Lithuania",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","LU","Luxembourg",0.826789630,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","LV","Latvia",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","MT","Malta",1.961592020,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","NL","Netherlands",0.560790990,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","NO","Norway",0.464412190,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","PL","Poland",0.005247180,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","RO","Romania",0.019384100,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","SE","Sweden",3.310491300,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","SI","Slovenia",0.348212100,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","SK","Slovakia",0.148807750,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2008","UK","United Kingdom",1.890480530,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","AT","Austria",1.091781250,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","BE","Belgium",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","BG","Bulgaria",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","CY","Cyprus",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","CZ","Czechia",0.095916050,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","DE","Germany",1.081676230,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","DK","Denmark",2.921190800,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","EE","Estonia",0.299459470,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","EL","Greece",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","ES","Spain",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","EU27_21","EU (without UK)",0.817295000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","EU27_UK_21","EU (with UK until 2019)",1.087416000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","EUEEA30_21","EU/EEA (without UK)",0.846967000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",1.106756000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","FI","Finland",0.544466580,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","FR","France",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","HU","Hungary",0.009969120,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","IE","Ireland",5.241829710,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","IS","Iceland",2.504947270,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","IT","Italy",-,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","LT","Lithuania",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","LU","Luxembourg",1.013171220,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","LV","Latvia",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","MT","Malta",1.946822540,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","NL","Netherlands",1.904670970,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","NO","Norway",2.250350670,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","PL","Poland",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","RO","Romania",0.000000000,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","SE","Sweden",2.463174720,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","SI","Slovenia",0.590445990,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","SK","Slovakia",0.260106960,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2009","UK","United Kingdom",2.153368060,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2010","AT","Austria",1.053684880,""
"STEC/VTEC infection","Confirmed cases","Notification rate","N/100000","2010","BE","Belgium",-,""
