"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","AT","Austria",40.878987570,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","BE","Belgium",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","BG","Bulgaria",15.001307990,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","CY","Cyprus",20.846637350,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","CZ","Czechia",172.172799270,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","DE","Germany",67.301297770,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","DK","Denmark",30.254719770,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","EE","Estonia",31.870848590,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","EL","Greece",6.397240740,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","ES","Spain",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","EU27_21","EU (without UK)",37.318687000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",35.213268000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",37.284214000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",35.207384000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","FI","Finland",51.620678970,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","FR","France",17.391371970,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","HU","Hungary",65.347672860,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","IE","Ireland",10.137973200,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","IS","Iceland",30.226994980,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","IT","Italy",11.558858180,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","LI","Liechtenstein",2.843494080,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","LT","Lithuania",69.846519190,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","LU","Luxembourg",34.230249880,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","LV","Latvia",28.023759070,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","MT","Malta",20.955780830,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","NL","Netherlands",23.535896090,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","NO","Norway",35.226507080,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","PL","Poland",29.271763370,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","PT","Portugal",4.158522100,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","RO","Romania",2.934146900,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","SE","Sweden",43.123989590,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","SI","Slovenia",66.455197200,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","SK","Slovakia",155.717843060,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2007","UK","United Kingdom",22.197923900,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","AT","Austria",27.828635780,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","BE","Belgium",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","BG","Bulgaria",20.164932110,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","CY","Cyprus",21.769008910,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","CZ","Czechia",103.515064930,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","DE","Germany",52.160214330,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","DK","Denmark",67.004018230,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","EE","Estonia",48.339858340,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","EL","Greece",7.160333700,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","ES","Spain",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","EU27_21","EU (without UK)",32.844997000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",30.863371000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",32.950396000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",30.976848000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","FI","Finland",58.994612560,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","FR","France",23.389298340,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","HU","Hungary",66.070035430,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","IE","Ireland",10.027446480,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","IS","Iceland",42.477786330,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","IT","Italy",11.469173500,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","LI","Liechtenstein",0.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","LT","Lithuania",102.969397100,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","LU","Luxembourg",31.624703640,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","LV","Latvia",56.072378530,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","MT","Malta",39.477039560,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","NL","Netherlands",15.505566180,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","NO","Norway",40.973821710,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","PL","Poland",24.021634580,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","PT","Portugal",3.145923760,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","RO","Romania",3.023920950,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","SE","Sweden",45.573704330,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","SI","Slovenia",51.386157770,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","SK","Slovakia",127.398036920,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2008","UK","United Kingdom",18.695293300,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","AT","Austria",33.293329340,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","BE","Belgium",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","BG","Bulgaria",16.699881170,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","CY","Cyprus",16.814525740,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","CZ","Czechia",100.520028080,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","DE","Germany",38.285485350,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","DK","Denmark",38.646810060,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","EE","Estonia",19.539730780,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","EL","Greece",3.632350270,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","ES","Spain",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","EU27_21","EU (without UK)",26.591541000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","EU27_UK_21","EU (with UK until 2019)",25.226029000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","EUEEA30_21","EU/EEA (without UK)",26.567804000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",25.221269000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","FI","Finland",43.688749850,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","FR","France",23.157779320,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","HU","Hungary",58.548645570,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","IE","Ireland",7.409337350,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","IS","Iceland",10.959144310,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","IT","Italy",9.681259770,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","LT","Lithuania",64.795644020,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","LU","Luxembourg",32.826747720,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","LV","Latvia",36.757328570,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","MT","Malta",30.419102220,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","NL","Netherlands",11.411344810,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","NO","Norway",25.733176750,""
