"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","AT","Austria",0.582769910,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","BE","Belgium",0.009028620,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","CZ","Czechia",5.444795530,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","DE","Germany",0.242755000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","EE","Estonia",13.431762490,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","EL","Greece",0.000000000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","ES","Spain",0.000000000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","EU27_21","EU (without UK)",0.652763000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","EU27_UK_21","EU (with UK until 2019)",0.550576000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","EUEEA30_21","EU/EEA (without UK)",0.645579000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",0.545730000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","FI","Finland",0.722052800,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","FR","France",0.001531930,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","HR","Croatia",1.052389340,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","HU","Hungary",0.422878740,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","IE","Ireland",0.000000000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","LT","Lithuania",11.685817310,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","LV","Latvia",3.521104370,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","NO","Norway",0.144086310,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","PL","Poland",0.312633060,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","RO","Romania",0.014928340,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","SE","Sweden",3.026514690,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","SI","Slovenia",7.978609540,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","SK","Slovakia",1.776356030,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2012","UK","United Kingdom",0.004724770,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","AT","Austria",1.183171510,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","BE","Belgium",0.008978290,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","CZ","Czechia",5.943253810,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","DE","Germany",0.521585270,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","EE","Estonia",8.635225350,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","EL","Greece",0.000000000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","ES","Spain",0.000000000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","EU27_21","EU (without UK)",0.727562000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","EU27_UK_21","EU (with UK until 2019)",0.627181000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","EUEEA30_21","EU/EEA (without UK)",0.720301000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","EUEEAUK_21","EU/EEA (with UK until 2019)",0.621953000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","FI","Finland",0.700244750,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","FR","France",0.001524380,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","HR","Croatia",1.032345250,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","HU","Hungary",0.272485110,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","IE","Ireland",0.000000000,""
"Tick-borne encephalitis","Confirmed cases","Notification rate","N/100000","2013","IT","Italy",0.000000000,""
