"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"West Nile virus infection","All cases","Notification rate","N/100000","2008","AT","Austria",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","BE","Belgium",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","BG","Bulgaria",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","CY","Cyprus",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","CZ","Czechia",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","EE","Estonia",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","EL","Greece",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","ES","Spain",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","EU27_21","EU (without UK)",0.007139000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",0.006034000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",0.007040000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",0.005963000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","FI","Finland",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","FR","France",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","HU","Hungary",0.189141270,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","IE","Ireland",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","IT","Italy",0.005114830,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","LT","Lithuania",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","LU","Luxembourg",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","LV","Latvia",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","MT","Malta",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","NL","Netherlands",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","NO","Norway",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","PL","Poland",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","RO","Romania",0.009692050,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","SE","Sweden",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","SI","Slovenia",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","SK","Slovakia",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2008","UK","United Kingdom",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2009","AT","Austria",0.023995190,""
"West Nile virus infection","All cases","Notification rate","N/100000","2009","BE","Belgium",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2009","CY","Cyprus",0.000000000,""
"West Nile virus infection","All cases","Notification rate","N/100000","2009","CZ","Czechia",0.000000000,""
